cpv,dkpp,name
39292200-7,32.99.16-10.00,Дошки грифельні для писання
39290000-1,28.23.23-00.00,Фурнітура різна
39224320-7,03.00.62-00.00,Губки
30197500-1,20.41.42-80.00,Віск для герметизації
33741300-9,20.42.15-00.00,Засоби дизенфекційні для рук
39831400-0,20.41.32-50.00,Очищувачі решіток
39813000-4,20.41.32-50.00,Пасти та порошки для чищення
30194320-4,26.51.32-00.00,Папір для креслення
30192112-9,32.99.16-70.00,Чорнило для друкарських машин
30197400-0,32.99.16-50.00,Спонжі для марок
30197300-9,28.23.23-00.00,"Ножі для відкриття листівок, степлери та дироколи"
33763000-6,17.22.11-60.00,Рушники паперові для витирання рук
30199000-0,17.12.77-80.00,Приладдя канцелярське паперове та інші вироби
30196000-9,17.23.13-15.00,Системи планувальні
30192111-2,32.99.16-50.00,Подушки штемпельні
30192131-8,32.99.15-10.00,Олівці механічні зі вставним грифелем
22850000-3,17.23.13-90.00,Швидкозшивачі та супутнє приладдя
41100000-0,36.00.1,Вода природна
39830000-9,20.41.32-50.00,Засоби для чищення
39822000-0,20.41.32-50.00,Очищувачі каустичні
30192132-5,32.99.15-30.00,Змінні грифелі для олівців
30199410-7,17.12.77-33.00,Папір самоклейний
30199720-3,17.23.13-15.00,Папір для нотаток
30199200-2,17.23.12,"Конверти, закриті поштові листівки та неілюстровані поштові листівки"
39811200-2,22.29.23-50.00,Засоби дезінфекції повітря
30192900-0,17.23.1,Засоби корегувальні
22459100-3,58.19.19-00.00,Стикери та стрічки рекламні
30199740-9,17.23.1,Картки вітальні
30194200-7,26.51.32-00.00,"Точки, стрічки та плівки креслярські"
22472000-9,58.11.12-00.00,Інструкції
22520000-1,18.13.20-00.00,устаткування для сухого витравлювання
30192920-6,17.23.1,Рідина корегувальна
30199240-4,17.23.12-70.00,Набори поштові
30192134-9,22.29.25-00.00,Держателі для олівців
30199700-7,17.23.12,"Вироби друковані канцелярські, крім формулярів"
22521000-8,18.13.20-00.00,устаткування для рельєфного тиснення
33772000-2,17.22.11,Вироби паперові одноразові
30192130-1,32.99.15-10.00,Олівці
39812000-7,20.41.43-30.00,Засоби полірувальні та креми
39514500-3,17.22.11,Серветки для витирання обличчя
22815000-6,17.23.13-15.00,Книжки записні
30192152-1,32.99.16-30.00,Штампи нумерувальні
22993000-7,17.12.13-00.00,"Папір-основа та картон-основа фоточутливі, термочутливі та термографічні"
